,Product ID,Title,Description,Vendor,Brands,Product Type,Category,Tags,SEO Title,SEO Description,Product Images,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price,Variant Bin Number,Variant Quantity,
11,Dawlance WM,Dawlance DW-6100 W Advanco,"The Dawlance DW-6100 W Advanco is a modern, high-performance washing machine designed to deliver superior washing results with ease and efficiency. Featuring advanced technology, a spacious drum, and user-friendly controls, this top-load washing machine is the ideal solution for households seeking reliable, durable, and energy-efficient laundry care. The DW-6100 W Advanco combines innovative features with sleek, contemporary styling, making it a great addition to any home.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Lid Type,Opaque,Capacity,8 KG,Dawlance DW-6100 Advanco-BE-On Installments,0,50,KG," 33,500 "," 33,500 ",0,25,
12,Dawlance WM,Dawlance DW-6550 Twin Tub,"The Dawlance DW 6550 Twin Tub Washing Machine is a versatile, high-performance washing machine designed for those who need a reliable solution for large laundry loads. With its twin tub configuration, this washing machine offers both washing and spinning functions in separate compartments, providing a faster and more efficient laundry experience. Whether you’re looking to wash delicate fabrics or tackle heavy-duty loads, the DW 6550 offers the perfect combination of power, convenience, and ease of use.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,Body-White/LID-White,Washing Capacity,8.5 KG,Spinning Capacity,5 KG,Dawlance DW-6550 W-BE-On Installments,0,60,KG," 45,000 "," 45,000 ",0,25,
13,Dawlance WM,Dawlance DW-6550 C Advanco Twin Tub,"The Dawlance DW 6550 C Twin Tub Washing Machine combines powerful performance, convenience, and efficiency in one compact and reliable appliance. Designed to handle large loads of laundry with ease, this twin tub washing machine features separate tubs for washing and spinning, allowing you to complete laundry tasks faster while ensuring superior cleaning results. Whether you're tackling everyday laundry or more demanding loads, the DW 6550 C makes washing clothes a breeze.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,Body-White/LID-Crystal,Washing Capacity,8.5 KG,Spinning Capacity,5 KG,Dawlance DW-6550 C ADVANCO-BE-On Installments,0,60,KG," 48,500 "," 48,500 ",0,25,
14,Dawlance WM,Dawlance DW-6550 G Twin Tub,"The Dawlance DW 6550 Twin Tub Washing Machine is an efficient, space-saving laundry solution that combines convenience, performance, and versatility. Designed for medium to large households, this washing machine offers two separate tubs for washing and spinning, allowing you to clean and dry clothes simultaneously or in quick succession. With a powerful motor, multiple wash programs, and large capacity, the DW 6550 delivers exceptional results for all your laundry needs, from delicate fabrics to heavy-duty loads.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,Body-White/LID-Green,Washing Capacity,8.5 KG,Spinning Capacity,5 KG,Dawlance DW-6550 G-BE-On Installments,0,60,KG," 51,000 "," 51,000 ",0,25,
15,Dawlance WM,Dawlance DW-7200 Single Tub,"The Dawlance DW 7200 CB Single Tub Washer is a compact, efficient, and reliable washing machine designed to meet the needs of modern households. Perfectly suited for individuals or small to medium-sized families, this top-load washer combines simplicity with advanced technology to provide effective and gentle care for your laundry. Whether you're washing delicate fabrics or everyday clothing, the DW 7200 CB delivers excellent performance while saving you time and energy.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Washing Capacity,7.2 KG,Type ,Single TUB,Dawlance DW-7200-BE-On Installments,0,60,KG," 31,500 "," 31,500 ",0,25,
16,Dawlance WM,Dawlance DW-7500 C Twin Tub,"The Dawlance DW-7500C 10 KG Twin Tub Washing Machine is a high-performance laundry solution designed for large families and those with high laundry volumes. With a substantial 10 kg washing capacity and a powerful spinning mechanism, this twin tub machine offers the perfect combination of efficiency, convenience, and durability. Its dual-tub configuration allows for simultaneous washing and spinning, making it ideal for users looking to save time and streamline their laundry routine.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Washing Capacity,10 KG,Spinning Capacity,5 KG,Dawlance DW-7500 C-BE-On Installments,0,60,KG," 50,500 "," 50,500 ",0,25,
17,Dawlance WM,Dawlance DW-7500 G Twin Tub,"The Dawlance DW 7500 Glass Lid Twin Tub Washing Machine is a high-performance, user-friendly washing solution designed to offer both convenience and efficiency for medium to large households. Featuring a sleek glass lid for a modern touch and increased durability, this twin tub washing machine provides the perfect balance of power, capacity, and flexibility. Whether you're dealing with delicate fabrics or heavily soiled items, the DW 7500’s powerful wash cycles and dual-tub design make laundry tasks simpler and faster.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White / Glass LID,Washing Capacity,7.5 KG,Spinning Capacity,5 KG,Dawlance DW-7500 G-BE-On Installments,0,60,KG," 54,500 "," 54,500 ",0,25,
18,Dawlance WM,Dawlance DS-9000 Spinner Dryer,"The Dawlance DS 9000 Spinner Dryer is a high-performance, compact appliance designed to provide fast and efficient drying for your laundry. Perfect for households that want to reduce drying time and energy consumption, the DS 9000 spinner dryer is an essential addition to any washing routine. With its powerful motor, sleek design, and large capacity, this spinner dryer ensures your clothes come out drier, making the overall laundry process quicker and more convenient.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White,Washing Capacity,7 KG,Type ,Spinner Dryer Single Tub,Dawlance DS-9000-BE-On Installments,0,20,KG," 35,500 "," 35,500 ",0,25,
19,Dawlance WM,Dawlance DW-9100 Advanco Single Tub Washer,"The Dawlance DW 9100 Single Tub Washer is a reliable and efficient washing machine designed to meet the needs of modern households. Combining functionality, sleek design, and powerful performance, this washer offers an excellent solution for those looking for a compact yet highly effective laundry machine. The single tub design streamlines your washing and spinning process, allowing you to complete your laundry efficiently without the hassle of switching between separate tubs.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White / GREY,Washing Capacity,12 KG,Lid Type,Translucent,Dawlance DS-9100 Advanco-BE-On Installments,0,60,KG," 40,000 "," 40,000 ",0,25,
20,Dawlance WM,Dawlance DW 9100 Glass Lid Single Tub Washer,"The Dawlance DW 9100 Glass Lid Single Tub Washer is a modern and efficient washing machine designed to offer excellent cleaning performance while ensuring convenience and ease of use. Featuring a sleek glass lid for enhanced visibility and durability, this single tub washer is perfect for small to medium-sized households looking for a reliable washing solution. With its compact design, powerful motor, and energy-efficient features, the DW 9100 delivers exceptional laundry care while saving you time and effort.",alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White ,Washing Capacity,12 KG,Lid Type,Glass LID,Dawlance DS-9100 G-BE-On Installments,0,60,Kg," 42,000 "," 42,000 ",0,25,
21,Dawlance WM,Dawlance DW 9200 WFL,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White ,Washing Capacity,9 KG,Display Type,Digital LED Display,Dawlance DW 9200 WFL-BE-On Installments,0,60,KG," 39,000 "," 39,000 ",0,25,
22,Dawlance WM,Dawlance 8550 Twin Tub,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,Colour,White ,Washing Capacity,8.5 KG,Spin Capacity,5 KG,Dawlance 8550 Twin Tub-BE-On Installments,0,60,KG," 49,500 "," 49,500 ",0,25,
23,Dawlance WM,Dawlance DW-10500,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-10500-BE-On Installments,0,60,KG,,,0,25,
24,Dawlance WM,Dawlance DW-260 LVS,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-260 LVS-BE-On Installments,0,60,KG," 85,500 "," 85,500 ",0,25,
25,Dawlance WM,DWT-270 C LVS+ ,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,DWT-270 C LVS+-BE-On Installments,0,60,KG," 102,000 "," 102,000 ",0,25,
26,Dawlance WM,Dawlance DW-1165,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1165-BE-On Installments,0,60,KG," 88,500 "," 88,500 ",0,25,
27,Dawlance WM,Dawlance DW-1167 FLP,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1167 FLP-BE-On Installments,0,60,KG," 82,000 "," 82,000 ",0,25,
28,Dawlance WM,Dawlance DW-1167 FLT,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1167 FLT-BE-On Installments,0,60,KG," 89,000 "," 89,000 ",0,25,
29,Dawlance WM,Dawlance DW-1775,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1775-BE-On Installments,0,60,KG," 151,000 "," 151,000 ",0,25,
30,Dawlance WM,Dawlance DW-1166 ADS,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1166 ADS-BE-On Installments,0,60,KG," 97,500 "," 97,500 ",0,25,
31,Dawlance WM,Dawlance DW-1470 PL,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1470 PL-BE-On Installments,0,60,KG," 110,000 "," 110,000 ",0,25,
32,Dawlance WM,Dawlance DW-1471 FLP,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-1471 FLP-BE-On Installments,0,60,KG," 94,500 "," 94,500 ",0,25,
33,Dawlance WM,Dawlance DW-9060,,alfa-Electronics World,Dawlance,Dawlance Washing Machine,Dawlance,Washing Machine,,,,,,,,,,Dawlance DW-9060-BE-On Installments,0,60,KG," 72,500 "," 72,500 ",0,25,
34,HAIER WM,HWM 60-50,,,,,,,,,,,,,,,,HWM 60-50-BE-On Installments,0,60,KG," 26,000 "," 26,000 ",0,25,
35,HAIER WM,HWM-75 AS,,,,,,,,,,,,,,,,Haier HWM-75 AS-BE-On Installments,0,50,KG," 36,000 "," 36,000 ",0,25,
36,HAIER WM,HWM-80 AS,,,,,,,,,,,,,,,,Haier HWM-80 AS-BE-On Installments,0,50,KG,,,0,25,
37,HAIER WM,HWM-80-186,,,,,,,,,,,,,,,,Haier HWM-80-186-BE-On Installments,0,50,KG," 41,000 "," 41,000 ",0,25,
38,HAIER WM,HWM 110-186,,,,,,,,,,,,,,,,Haier HWM 110-186-BE-On Installments,0,50,KG," 48,500 "," 48,500 ",0,25,
39,HAIER WM,HWM 80-1217,,,,,,,,,,,,,,,,Haier HWM 80-1217-BE-On Installments,0,50,KG," 29,000 "," 29,000 ",0,25,
40,HAIER WM,HWM 100 AS,,,,,,,,,,,,,,,,Haier HWM 100 AS-BE-On Installments,0,50,KG," 40,500 "," 40,500 ",0,25,
41,HAIER WM,HWM 100 BS,,,,,,,,,,,,,,,,Haier HWM 100 BS-BE-On Installments,0,50,KG," 42,500 "," 42,500 ",0,25,
42,HAIER WM,HWM-120-35,,,,,,,,,,,,,,,,Haier HWM-120-35-BE-On Installments,0,50,KG," 34,000 "," 34,000 ",0,25,
43,HAIER WM,HWM-130-1217,,,,,,,,,,,,,,,,Haier HWM-130-1217-BE-On Installments,0,50,KG," 35,000 "," 35,000 ",0,25,
44,HAIER WM,HWM-120 AS ,,,,,,,,,,,,,,,,HWM-120 AS-BE-On Installments,0,50,KG," 55,500 "," 55,500 ",0,25,
45,HAIER WM,HWM-80-1269 X,,,,,,,,,,,,,,,,HWM-80-1269 X-BE-On Installments,0,50,KG," 61,000 "," 61,000 ",0,25,
46,HAIER WM,West Point WF-9805,,,,,,,,,,,,,,,,West Point WF-9805-BE-On Installments,0,5,KG," 9,000 "," 9,000 ",0,25,
47,HAIER WM,HWM-80-1708,,,,,,,,,,,,,,,,HWM-80-1708-BE-On Installments,0,50,KG," 67,500 "," 67,500 ",0,25,
48,HAIER WM,HWM-85-1708,,,,,,,,,,,,,,,,HWM-85-1708-BE-On Installments,0,50,KG," 74,500 "," 74,500 ",0,25,
49,HAIER WM,HWM 85-826 E,,,,,,,,,,,,,,,,HWM 85-826 E-BE-On Installments,0,50,KG," 64,000 "," 64,000 ",0,25,
50,HAIER WM,HWM 85-826,,,,,,,,,,,,,,,,HWM 85-826-BE-On Installments,0,50,KG," 66,500 "," 66,500 ",0,25,
51,HAIER WM,HWM 90-1708 ,,,,,,,,,,,,,,,,HWM 90-1708-BE-On Installments,0,50,KG," 73,500 "," 73,500 ",0,25,
52,HAIER WM,HWM 90-826,,,,,,,,,,,,,,,,HWM 90-826-BE-On Installments,0,50,KG," 75,500 "," 75,500 ",0,25,
53,HAIER WM,HWM 90-1789,,,,,,,,,,,,,,,,HWM 90-1789-BE-On Installments,0,50,KG," 78,500 "," 78,500 ",0,25,
54,HAIER WM,HWM 95-1678 ES8/JT,,,,,,,,,,,,,,,,HWM 95-1678 ES8/JT-BE-On Installments,0,50,KG," 87,500 "," 87,500 ",0,25,
55,HAIER WM,HWM-120-826 E,,,,,,,,,,,,,,,,HWM-120-826 E-BE-On Installments,0,50,KG," 92,500 "," 92,500 ",0,25,
56,HAIER WM,HWM-120-826 B,,,,,,,,,,,,,,,,HWM-120-826 B-BE-On Installments,0,50,KG," 95,500 "," 95,500 ",0,25,
57,HAIER WM,HWM 120-1789,,,,,,,,,,,,,,,,HWM 120-1789-be-On Installments,0,50,KG," 102,500 "," 102,500 ",0,25,
58,HAIER WM,HWM 120-1678,,,,,,,,,,,,,,,,HWM 120-1678-BE-On Installments,0,50,KG," 120,500 "," 120,500 ",0,25,
59,HAIER WM,HWM 120-1678 ES8,,,,,,,,,,,,,,,,HWM 120-1678 ES8-BE-On Installments,0,50,KG," 115,000 "," 115,000 ",0,25,
60,HAIER WM,HWM-120 1978,,,,,,,,,,,,,,,,HWM-120 1978-BE-On Installments,0,50,KG," 153,000 "," 153,000 ",0,25,
61,HAIER WM,HWM 150-826,,,,,,,,,,,,,,,,HWM 150-826-BE-On Installments,0,50,KG," 106,000 "," 106,000 ",0,25,
62,HAIER WM,HWM 150-1708,,,,,,,,,,,,,,,,HWM 150-1708-BE-On Installments,0,50,KG," 115,000 "," 115,000 ",0,25,
63,HAIER WM,HWM-150-1789,,,,,,,,,,,,,,,,HWM-150-1789-Be-On Installments,0,50,KG," 110,500 "," 110,500 ",0,25,
64,HAIER WM,HWM 150-B1678 ES8,,,,,,,,,,,,,,,,HWM 150-B1678 ES8-BE-On Installments,0,50,KG," 127,500 "," 127,500 ",0,25,
65,HAIER WM,HWM 150-1978,,,,,,,,,,,,,,,,HWM 150-1978-be-On Installments,0,50,KG," 178,000 "," 178,000 ",0,25,
66,HAIER WM,HW-80 BP12929 S3,,,,,,,,,,,,,,,,HW-80 BP12929 S3-BE-On Installments,0,50,KG," 158,000 "," 158,000 ",0,25,
67,HAIER WM,HW 80-BP 12929 S6,,,,,,,,,,,,,,,,HW 80-BP 12929 S6-BE-On Installments,0,50,KG," 158,000 "," 158,000 ",0,25,
68,HAIER WM,HW-90 BP 14959 S8,,,,,,,,,,,,,,,,HW-90 BP 14959 S8-BE-On Installments,0,50,KG," 173,000 "," 173,000 ",0,25,
69,HAIER WM,HW 100-BP14929 S3,,,,,,,,,,,,,,,,HW 100-BP14929 S3-BE-On Installments,0,50,KG," 188,000 "," 188,000 ",0,25,
70,HAIER AC,12 CF (G),,,,,,,,,,,,,,,,Haier 12 CF (G) 1 Ton-BE-On Installments,0,,," 108,000 "," 108,000 ",,,
71,HAIER AC,12 CF (W),,,,,,,,,,,,,,,,Haier 12 CF (W) 1 Ton-BE-On Installments,0,,," 109,000 "," 109,000 ",,,
72,HAIER AC,18 CF ,,,,,,,,,,,,,,,,Haier 18 CF 1.5 Ton-BE-On Installments,,,," 138,000 "," 138,000 ",,,
73,HAIER AC,24 CF,,,,,,,,,,,,,,,,Haier 24 CF 2 Ton-BE-On Installments,,,," 199,000 "," 199,000 ",,,
74,HAIER AC,12 LF,,,,,,,,,,,,,,,,Haier 12 LF 1 Ton Inverter-BE-On Installments,,,," 125,500 "," 125,500 ",,,
75,HAIER AC,18 LF,,,,,,,,,,,,,,,,Haier 18 LF 1.5 Ton Inverter-BE-On Installments,,,," 154,500 "," 154,500 ",,,
76,HAIER AC,Candy 18HP,,,,,,,,,,,,,,,,Haier Candy 18HP 1.5 Ton Inverter-BE-On Installments,,,," 155,500 "," 155,500 ",,,
77,HAIER AC,12 HFC,,,,,,,,,,,,,,,,Haier 12 HFC 1 Ton Inverter-BE-On Installments,,,," 136,500 "," 136,500 ",,,
78,HAIER AC,18 HFC,,,,,,,,,,,,,,,,Haier 18 HFC 1.5 Ton Inverter-BE-On Installments,,,," 166,500 "," 166,500 ",,,
79,HAIER AC,12 HFT W,,,,,,,,,,,,,,,,Haier 12 HFT W 1 Ton Inverter-BE-On Installments,,,,,,,,
80,HAIER AC,18 HFT,,,,,,,,,,,,,,,,Haier 18 HFT 1.5 Ton Inverter-BE-On Installments,,,," 203,500 "," 203,500 ",,,
81,HAIER AC,12 HFT S,,,,,,,,,,,,,,,,Haier 12 HFT S 1 Ton Inverter-BE-On Installments,,,,,,,,
82,HAIER AC,18 HFT S,,,,,,,,,,,,,,,,Haier 18 HFT S 1.5 Ton Inverter-BE-On Installments,,,," 209,000 "," 209,000 ",,,
83,HAIER AC,12 HFP,,,,,,,,,,,,,,,,Haier 12 HFP 1 Ton Inverter-BE-On Installments,,,," 150,000 "," 150,000 ",,,
84,HAIER AC,18 HFP,,,,,,,,,,,,,,,,Haier 18 HFP 1.5 Ton Inverter-BE-On Installments,,,," 189,500 "," 189,500 ",,,
85,HAIER AC,24 HF,,,,,,,,,,,,,,,,Haier 24 HF 2 Ton Inverter-BE-On Installments,,,," 220,000 "," 220,000 ",,,
86,HAIER AC,18 HJ  ,,,,,,,,,,,,,,,,Haier 18 HJ 1.5 Ton Inverter-BE-On Installments,,,," 219,000 "," 219,000 ",,,
87,HAIER MW,Haier HMW-20MX11 SOLO,,,,,,,,,,,,,,,,,,,," 20,500 "," 20,500 ",,,
88,HAIER MW,Haier HMW-20MBS SOLO,,,,,,,,,,,,,,,,,,,," 20,000 "," 20,000 ",,,
89,HAIER MW,Haier HMN-45200 ESD GRILL SERIES,,,,,,,,,,,,,,,,,,,," 47,500 "," 47,500 ",,,
90,HAIER MW,Haier HMW-28100 Grill Series,,,,,,,,,,,,,,,,,,,," 32,500 "," 32,500 ",,,
91,HAIER MW,Haier HMW-23200 Grill Series,,,,,,,,,,,,,,,,,,,," 34,000 "," 34,000 ",,,
92,HAIER MW,Haier HMW-20DGS Grill Series,,,,,,,,,,,,,,,,,,,," 28,000 "," 28,000 ",,,
93,HAIER MW,Haier HMW-20DSS DIGITAL SOLO SERIES,,,,,,,,,,,,,,,,,,,," 25,000 "," 25,000 ",,,
94,HAIER MW,Haier HMW-20MX12 SOLO Microwave Oven,,,,,,,,,,,,,,,,,,,," 21,000 "," 21,000 ",,,
95,HAIER MW,HMW 20 MWS,,,,,,,,,,,,,,,,Haier HMW 20 MWS-BE-On Installments,,,," 20,500 "," 20,500 ",,,
96,HAIER MW,HMN 20 MXP5,,,,,,,,,,,,,,,,Haier HMN 20 MXP5-BE-On Installments,,,," 20,000 "," 20,000 ",,,
97,HAIER MW,HMN 20 MXP6,,,,,,,,,,,,,,,,Haier HMN 20 MXP6-BE-On Installments,,,," 20,000 "," 20,000 ",,,
98,HAIER MW,HGL 20 MXP7,,,,,,,,,,,,,,,,Haier HGL 20 MXP7-BE-On Installments,,,," 20,500 "," 20,500 ",,,
99,HAIER MW,HGL 20 MXP8,,,,,,,,,,,,,,,,Haier HGL 20 MXP8-BE-On Installments,,,," 20,500 "," 20,500 ",,,
100,HAIER MW,HGL-25 MXP8,,,,,,,,,,,,,,,,Haier HGL-25 MXP8-BE-On Installments,,,," 29,000 "," 29,000 ",,,
101,HAIER MW,HWM-20 MHES,,,,,,,,,,,,,,,,Haier HWM-20 MHES-BE-On Installments,,,," 25,500 "," 25,500 ",,,
102,HAIER MW,HGL-23100,,,,,,,,,,,,,,,,Haier HGL-23100-BE-On Installments,,,," 32,000 "," 32,000 ",,,
103,HAIER MW,HGL-30100,,,,,,,,,,,,,,,,Haier HGL-30100-BE-On Installments,,,," 46,500 "," 46,500 ",,,
104,HAIER MW,HMN-25200 GB,,,,,,,,,,,,,,,,Haier HMN-25200 GB-BE-On Installments,,,," 33,500 "," 33,500 ",,,
105,HAIER MW,HMN-32100 EGB,,,,,,,,,,,,,,,,Haier HMN-32100 EGB-BE-On Installments,,,," 40,500 "," 40,500 ",,,
106,HAIER MW,HMO-62 MX80,,,,,,,,,,,,,,,,Haier HMO-62 MX80-BE-On Installments,,,," 47,500 "," 47,500 ",,,
107,HAIER MW,HMW-30AFR,,,,,,,,,,,,,,,,Haier HMW-30AFR-BE-On Installments,,,," 57,000 "," 57,000 ",,,
108,HAIER MW,HMW-30AFS,,,,,,,,,,,,,,,,Haier HMW-30AFS-BE-On Installments,,,," 57,000 "," 57,000 ",,,
109,HAIER MW,CDL-20MX01,,,,,,,,,,,,,,,,Haier CDL-20MX01-BE-On Installments,,,," 18,500 "," 18,500 ",,,
110,HAIER MW,CDL-25DG01,,,,,,,,,,,,,,,,Haier CDL-25DG01-BE-On Installments,,,," 28,500 "," 28,500 ",,,
,SUPERASIA,SuperAsia SA 110,,,,,,,,,,,,,,,,SuperAsia SA 110-BE-On Installments,,,," 17,000 "," 17,000 ",,,
,SUPERASIA,SuperAsia SA 111,,,,,,,,,,,,,,,,SuperAsia SA 111-BE-On Installments,,,," 27,500 "," 27,500 ",,,
,SUPERASIA,SuperAsia SA 210,,,,,,,,,,,,,,,,SuperAsia SA 210-BE-On Installments,,,," 19,500 "," 19,500 ",,,
